Pointer[#version],Original,Translated
0x60304,このアイテムの テストを<4E>たのまれてくれないか？,Could you test this item out for me?
0x60306,また なにかあったら おねがいするよ<4C>・・・・・<4E>それにしても おかしいな<4C>いつになったら 「せんぼうきょう」が<4E>とどくのかな？<4C>あれをつかえば みずのうえを<4E>スイスイ いどうできるのに・・・,"Well, if something comes up, I'll let you know.<4C>This is rather strange...<4C>Where's my <f02>Periscope<f00>?<4C>If I had it, I could use it to swim underwater..."
0x60308,じぶんのきょうしつが<4E>わからないだと？<4C>2かいの ひだリから2ばんめの<4E>きょうしつだろうが!,"What?! You don't even remember your own classroom?<4C>Go up the stairs, it's the second door from the left!"
0x6030a,ユウキさまは おヘやで<4E>おくつろぎになっています,Master Yuuki is in his bedroom.
0x6030c,ユウキさまは ただいま<4E>がいしゅつちゅうで ございます,Master Yuuki is out at the moment.
0x6030e,ほらっ そうじのじゃまだよっ,"Move, I'm cleaning."
0x60310,せっかく きれいにした ばしょを<4E>あるかないで おくれ,"Don't walk in here, I went through a lot of trouble cleaning this place."
0x60312,なんだい ぼくに ようじでも<4E>あるのかい？,<@Yuuki>What is it? Is there something you want?
0x60314,ぼくは つぎのたいかいで<4E>しんせいひんを つかうんだよ<4C>パーツのせいで まけたって<4E>いわれるのは いやだから<4C>きみにも 1セット わけてあげよう,"<@Yuuki>I'm gonna try out a new product in the next tournament.<4C>It's not good to blame your parts if you lose. Here, I'll give you a set too."
0x60316,ほんたいかいでは じゅんけっしょうで<4E>きみと たたかうことになる<4C>そこまで まけないで<4E>かちすすんでくるんだよ<4C>ほんたいかいで<4E>けっちゃくを つけよう,"<@Yuuki>Listen, in the final tournament, you and I are gonna fight in the semifinals.<4C>You better not lose 'til then.<4C>We'll finally settle it there."
0x60318,こわれたメダルを なおしたいって？<4C>そうだな むかし<4E>おじいさまに きいたはなしだと<4C>まんげつのよるに いせきのみずうみに<4E>メダルをしずめれば<4C>メダルが ふっかつするらしい<4C>きょうは まんげつじゃないのか？,"<@Yuuki>You want to fix a broken Medal?<4C>Well, a long time ago, my grandpa told me a story that if you place a Medal in the fountain at the Ruins on the night of a full moon, the Medal will be revived.<4C>Isn't tonight a full moon?"
0x6031a,はやく メダルがなおると いいな<4C>きみが おちこんでいる すがたを<4E>みても うれしくないからな,<@Yuuki>You should hurry and fix your Medal.<4C><@YuukiSad>It bums me out when you're depressed.
0x6031c,メダロットは そつぎょうしたのさ<4C>・・・<4E>しかたがない<4C>そこまで いうなら<4E>あいてをしてあげても いいよ,<@Yuuki>Your Medarot has grown.<4C>...<49>I guess it's expected.<4C>Feel free to ask for a match anytime.
0x6031e,くやしくはないさ<4E>さあ うけとリたまえ,"<@Yuuki>Hey, don't look so sad! Take it."
0x60320,ボクは ライバルとして なさけないよ,<@Yuuki>Don't make me regret calling you my rival.
0x60322,ぼくには メダロットよリ<4E>かわいい ハニーがいるからね<4C>おっと このことは ないしょだよ,"My Medarot is cuter than Honey's.<4C>Oops, that was supposed to be a secret."
0x60324,にもうさくのいみを しってるかい？<*4>,Do you know what <f02>Nimousaku<f00> means?<*4>
0x60326,おかねもちって いいねぇ,It must be great to be rich.
0x60328,1ねんに 2かいも さくもつが<4E>とれるんだ<4C>おかねもちに なるはずだよね,"It means to produce crops twice a year, it's a great way to get rich."
0x6032a,なつやすみは きそくただしく<4E>くらすんだぞ,Don't cause any trouble over summer vacation!
0x6032c,ロボロボだんたいじ ごくろうさま,Thank you for taking care of the RoboRobo Gang.
0x6032e,「じゅうてん」と「ねつリょう」の<4E>じかんを うまく くみあわせると<4C>スキが すくなくなったリ<4E>こうかが ながくつづいたリするのよ,"If you pay attention to the <f02>Charge <f00>and <f02>Cooldown <f00>on your parts, you can shorten the gaps between your actions or strengthen their effects."
0x60330,=0x6032e,=0x6032e
0x60332,=0x6032e,=0x6032e
0x60334,あんぜんのために<4E>メダロットをかったの<4C>よかったら ロボトルしない？,"As a safety measure, I bought a Medarot.<4C>If it's fine with you, would you like to Robottle?"
0x60336,また こんど やリましょう,Let's do that again sometime.
0x60338,=0x60336,=0x60336
0x6033a,=0x60336,=0x60336
0x6033c,ねえっ ロボトルしましょう,"Hey, let's Robottle."
0x6033e,み みたわね!!,<@ReikaSad>Y-you saw right through me!
0x60340,=0x6033e,=0x6033e
0x60342,=0x6033e,=0x6033e
0x60344,=0x6033e,=0x6033e
0x60346,おぼえてらっしゃい!,<@ReikaSad>I'll remember this!!
0x60348,とびらが しまっている,The door is locked.
0x6034a,=0x60348,=0x60348
0x6034c,=0x60348,=0x60348
0x6034e,=0x60348,=0x60348
0x60350,=0x60348,=0x60348
0x60352,もってないんでチュか,Don't you have it?
0x60354,いいところで あったな<4E>このまえの けっちゃくをつけようぜ<*4>,"<@Yanma>Ah, this is the perfect place. What do you say we settle this?<*4>"
0x60356,きょうは ちょうしが わるいんだよ,"<@YanmaSad>Man, I'm not doing so hot today..."
0x60358,ロボロボだんって みんなを<4E>こまらせて よろこんでるのよ,The RoboRobo Gang must enjoy causing trouble for everyone.
0x6035a,=0x60358,=0x60358
0x6035c,=0x60358,=0x60358
0x6035e,=0x60358,=0x60358
0x60360,=0x60358,=0x60358
0x60362,=0x60358,=0x60358
0x60364,=0x60358,=0x60358
0x60366,ヒヨコ かわないか？<4C>すきないろのヒヨコを えらんでいいぞ,<@Chickseller>Wanna buy some baby chicks?<4C>I'll even let you pick the color!
0x60368,オレは あおいのが いいな<4C>しあわせの なんとかって やつだよ,<@Chickseller>I personally like the blue ones.<4C>It's like they're a sign of happiness.
0x6036a,つよくなったら<4E>また ロボトルしようね,I'll challenge you to a Robottle once I get stronger.
0x6036c,こっとうひんやは いっつも ドアが<4E>しまってるんだ,The Antiques shop is always closed.
0x6036e,ロボトルは 1どに 3たいまで<4E>メダロットを だすことができるぞ,"In a Robottle, you can send out up to three Medarots."
0x60370,メダルと おなじ ぞくせいの<4E>パーツを つかうと いいぞ,You should probably try using parts compatible with your Medal's attribute.
0x60372,わーい なつやすみだっ,"Yaaay, summer vacation is here!"
0x60374,ヒヨコって かわいいよな<4C>やすくしとくぞ,<@Chickseller>The baby chicks are so cute.<49>And they're cheap.
0x60376,ヒヨコは やっぱリ きいろだよな<4E>きいろ,<@Chickseller>I guess chicks are yellow after all.<49>Yellow...
0x60378,どうぞうが うごいたーっ!,The statue started moving!
0x6037a,ともだちから もらったパーツが<4E>みたことないパーツに なっちゃった,The parts my friend gave me turned into ones I've never seen before.
0x6037c,まちじゅうの メダロットが とつぜん<4E>あばれだしたんだ!,The entire town's Medarots have suddenly gone mad!
0x6037e,えらいこっちゃ えらいこっちゃ,Good! Good!
0x60380,セレクトじるしの メダルを<4E>つかっているのに<4C>どうして あばれだすの!？,It's using a Medal with a Select mark. So why's it still going berserk!?
0x60382,ロボロボだんが いないから<4E>セレクトたいも いなくてもいいや,"The RoboRobo Gang is gone, so we don't really need the Select Force anymore."
0x60384,あーあ なつやすみが おわっちゃった,"Aah, summer vacation is over already."
0x60386,ヒヨコをうるのは ただのしゅみさ,Selling birds is my hobby.
0x60388,ヒヨコは いつか ニワトリになるんだ<4C>ヒヨコが さきか・・・<4E>ニワトリが さきか・・・<4C>？？？<4E>おじさん なにが いいたいの？<4C>だから ロボロボだんが セ・・・<4C>セ・・・？<4E>セってなに？<4C>セ せ せ せいくらべ べ べんとう<4C>・・・？,"<@Chickseller>All chicks become chickens one day. Which came first? The chick or the chicken?<4C><@HikaruSad>??? What are you trying to say?<4C><@Chickseller>I'm saying the RoboRobo Gang is the Se...<4C><@Hikaru>""Se""...? What do you mean ""Se""?<4C><@Chickseller>Se-sel-selling lots of chicks, am I right??<4C><@HikaruSad>...?"
0x6038a,こうえんの いけにおかねを なげると<4E>ねがいが かなうんだって,"If you toss a coin into the fountain, your wish will come true!"
0x6038c,=0x6038a,=0x6038a
0x6038e,こどもは いいなあ<4E>なつやすみが あってさ<4C>おっ おじさんは<4E>サボってるんじゃないぞ,"Must be nice to be a kid and still get summer vacation...<4C>What? No, I didn't come here to slack off or anything!"
0x60390,なんだ 10えんだまか,"Oh cool, a ¥10 coin."
0x60392,んっ？ これは メダルだ!,Hm? This is a Medal!
0x60394,メダロットで あそんでみたいでチュ<4C>パーツを かしてほしいで<4E>ちょうだいで くれないでチュか？<*4>,You look like you're into Medarots.<4C>Can I bowwow some parts?<*4>
0x60396,あリがとうでチュ<4C>きっと おれいするでチュ,Thank you. I will pay you back.
0x60398,しかたないでチュ<4E>あきらめるでチュ,It's no use! Give up!
0x6039a,あのときの おにいちゃんでチュ<4E>これは かえすでチュ,"You're that guy! Here, I'll give this back."
0x6039c,あリがとうでチュ<4E>メダロットは おもしろいでチュ<4C>いっぱい とったから<4E>これは あげるでチュ,Thank you. Medarots are very interesting.<49>Here's a present for helping me.
0x6039e,ヘんな おじいちゃんから<4E>もらったでチュ<4C>もしかして<4E>おにいちゃんの パーツでチュか？<4C>とられた パーツが かえってきた!,"I got it from some weird old man. Could they be your parts?<4C>Hey, those were my parts that got stolen!"
0x603a0,ボクも おおきくなったら<4E>メダロッターに なるでチュ,"When I grow up, I will also be a Medarotter!"
0x603a2,あれっ？<4E>メダルが おちてる<4C>メダロ・・・なんとかって ゲームに<4E>つかうらしいけど・・・<4C>たしか キララも やってるんだよな<4E>そのメダロ・・ なんとか<4C>ちょっとぐらい やってみよっかな・・<4C>とリあえず ひろったメダルは<4C>セレクトしぶにでも<4E>とどけたほうが いいな<4C>たしか・・・<4C>こうえんをでて まっすぐ うえに<4E>いったところに あったはずだ,"<@Hikaru>Huh? There's a coin on the ground...<4C><@HikaruSad>It looks like the ones they use for that Meda... Meda..? Whatever it is.<4C>I think Kirara said she was getting really into those Meda... whatevers.<4C><@Hikaru>Maybe I should give it a shot too...<4C>In any case, someone must have dropped this, so I should take it to the Select Office just in case.<4C>If I remember correctly... <4C>You can reach it by going straight north from the park entrance."
0x603a4,これは ロボロボだんのふく<4E>じゃないか？<4C>ワン! ワン!<4C>はっくつげんばで ロボロボだんと<4E>たたかったときに ひろってきたのか,<@Hikaru>Aren't those the RoboRobo Gang's clothes?<4C><@Bonaparte>Woof! Woof!<4C><@Hikaru>Did you pick it up after the battle with the RoboRobo Gang at the excavation site?
0x603a6,=0x603a4,=0x603a4
0x603a8,そら とってこい!,"<@Hikaru>Go, fetch!"
0x603aa,いてっ!,<@Grunt>Ouch!
0x603ac,ワンッ ワンッ<4C>う うわーーーーーーーっ!!<4C>イヌは きらいなんだよーっ!!,"<@Bonaparte>Woof, woof!<4C><@GruntSad>Eeeyaaaargh!!<4C>Get it away! I can't stand dogs!!"
0x603ae,いいパーツ もってんじゃん<4C>ロボトルやろうぜ<4C>あんたたちみたいに<4E>ひきょうなやつとは あそばないの!<4C>そんなこと いって<4E>まけるのが こわいんだろ,<@Yanma>Those are some pretty nice parts you've got there.<4C>Let's Robottle for them!<4C><@KiraraSad>As if I'd ever play against cheaters like you!<4C><@Yanma>Heh heh! You're just saying that 'cuz you're scared of losing!
0x603b0,ちょっと ムチャよ <&NAME><4E>ロボトルやったこと ないんでしょ？<4C>はじめてだからって<4E>てかげんしねーぜ<4C>さあっ ロボトルかいしだぜっ,"<@Kirara>Wait, <&NAME>!<4C>You haven't Robottled before, have you?<4C><@Yanma>Heh! We won't go easy on you just because you're a beginner!<4C>C'mon, let's get this Robottle started!"
0x603b2,ヘっ やっぱリ まけるのが<4E>こわいんじゃねーか<4C>おっ やるきになったか？<4C><&NAME> ちょうはつに<4E>のったら まけるわよ<4C>さあっ ロボトルかいしだぜっ!,"<@Yanma>Oh, what's that? Little baby's changed his mind?<4C>Heh heh! Just what I thought, this guy's afraid of losing too!<4C><@Kirara><&NAME>! You'll lose if you let them get to you!<4C><@Yanma>C'mon, let's get this Robottle started!"
0x603b4,どこが はじめてなんだよ<4E>だましやがったな<4C><&NAME>は<4E>あんたたちとは ちがうわよ!,<@YanmaSad>How is this guy a beginner?!<49>You guys tricked me!<4C><@Kirara>As if!<49><&NAME> is different from you guys!
0x603b6,こんかいは うんがよかっただけさ!<4C>つぎも うまくいくとは<4E>かぎらないんだからなっ!!,"<@YanmaSad>...You just got lucky this time! <4C>Don't think next time will be so easy, you got that?!"
0x603b8,おいおい あいてに なんねーぜ<4C>かわいそうだから<4E>パーツとるのは やめといてやるぜ<4C>いこーぜ<4E>あんまリよわくて しらけちまった,"<@Yanma>Oh, come on! This guy's no match for us!<4C>I'm feeling sorry for you, so we won't bother taking your parts this time. <4C>Let's go, Kubota. If we stick around them, their lameness might start rubbing off on us."
0x603ba,なんだか たすけられちゃったね<4E>・・・あリがと♥<4C>でも あんなむちゃしちゃダメ<4E>メダロットが かわいそうだわ<4C>キミ メダルとパーツの<4E>あいしょうとか かんがえてる？<4C>メダルとパーツの ぞくせいが<4E>おなじなら メダロットは<4C>パワーアップ!・・・ってしってた？<4C>それとね メダルにだって<4E>こころが あるのよ<4C>かんがえて そだてないと<4E>ダメなこに なっちゃうんだから!<4C>ちょっと じしんついたら<4E>また あいにきて<4C>とっくんしてあ・げ・る,"<@Kirara>Looks like you kinda saved me there.<49>...Thanks. ♥<4C><@KiraraSad>You shouldn't be so reckless though!<49>I feel sorry for your poor Medarot.<4C><@Kirara>Have you thought about the compatibility between your Medal and its parts? If the parts and Medal are a good match, your Medarot will become stronger!<4C>Also, remember that Medals all have a consciousness inside them. If you don't take care and raise them properly, they'll turn out no good!<4C>Come see me again once you've gotten a bit more experience.<49>I'll give you some of my special training!"
0x603bc,<*0>,
0x603be,=0x603bc,=0x603bc
